@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute 'feature28' real
@attribute 'feature29' real
@attribute 'feature30' real
@attribute 'feature31' real
@attribute 'feature32' real
@attribute 'feature33' real
@attribute 'feature34' real
@attribute 'feature35' real
@attribute 'feature36' real
@attribute 'feature37' real
@attribute class {1 2 }
@data
0.005262,0.001617,0.005670,0.001880,0.005458,0.001809,0.006286,0.002427,0.002862,0.000508,0.004432,0.002465,0.176780,1.137137,0.752797,1.991090,0.733145,4.464465,7.704193,1.983493,2.547730,0.736913,1.071082,-0.281145,0.758451,0.017051,0.100724,1161.000000,0.873281,0.856827,0.651515,1.000000,153.296460,0.612816,58.538075,28.520773,-88.927436,1
0.003318,0.000350,0.003401,0.000595,0.003361,0.000536,0.004563,0.000827,0.002243,0.000421,0.002893,0.001225,0.093881,1.719203,0.398178,1.670080,0.597992,4.784420,3.756062,1.952980,2.735545,0.814636,1.192477,-0.087123,0.482821,0.017377,0.022673,641.000000,0.622185,0.956716,0.689247,1.000000,96.911688,0.840231,32.692248,25.593791,34.176414,1
0.002631,0.000127,0.003075,0.000473,0.002960,0.000460,0.004356,0.000461,0.002514,0.000533,0.003001,0.000989,0.092866,1.398693,0.452558,1.249216,0.634371,6.183007,3.709428,1.998610,2.805997,0.691481,1.151277,-0.097452,0.500903,0.007469,0.002838,546.000000,0.728818,0.976744,0.724138,1.000000,87.254834,0.880898,31.970516,21.890440,-52.303402,1
0.004362,0.001837,0.007803,0.004031,0.006424,0.003786,0.004230,0.000461,0.002512,0.000609,0.003178,0.001037,0.424265,1.242424,0.438925,1.093347,0.820900,2.922559,3.185922,1.252274,1.575926,1.017039,0.900655,-0.190607,0.531848,0.154574,0.088602,669.000000,0.798397,0.950284,0.723243,1.000000,101.840620,0.794889,38.319260,23.073216,11.936056,1
0.002595,0.000124,0.002646,0.000208,0.002626,0.000187,0.004123,0.000672,0.002146,0.000305,0.002748,0.001043,0.126681,1.191904,0.413378,0.789010,0.647456,5.773613,2.741852,1.789638,2.462354,0.577079,1.058277,-0.084472,0.451651,0.003797,0.002917,773.000000,0.640521,0.957869,0.740421,1.000000,106.083260,0.847122,36.028018,27.667369,78.540510,2
0.002440,0.000056,0.002438,0.000063,0.002439,0.000061,0.005428,0.000855,0.002484,0.000523,0.003499,0.001592,0.045282,3.796424,0.033304,1.931039,0.457749,8.569463,4.055354,2.112456,3.421982,1.523670,1.545642,-0.019522,0.255991,0.004673,0.001296,814.000000,0.726335,0.955399,0.765038,1.000000,110.083260,0.828967,39.069157,26.853812,-9.474774,2
0.002420,0.000054,0.002360,0.000063,0.002372,0.000066,0.006611,0.002224,0.002323,0.000526,0.003324,0.002231,0.044801,3.501754,0.015783,1.804568,0.464212,8.757895,3.601034,2.040944,3.309755,1.371179,1.501577,-0.031681,0.319494,0.002312,0.001587,357.000000,0.729595,0.978082,0.782895,1.000000,69.698485,0.897548,25.877982,17.697434,70.160320,1
0.002432,0.000055,0.002359,0.000062,0.002377,0.000068,0.006150,0.002109,0.002393,0.000543,0.003495,0.002180,0.045632,2.846154,0.223518,1.921834,0.482457,9.429487,4.482207,2.151811,3.312324,1.085429,1.400937,-0.057673,0.425633,0.004039,0.004087,390.000000,0.714279,0.967742,0.789474,1.000000,73.112698,0.892255,26.734773,18.710619,-79.196132,1
0.002399,0.000050,0.002360,0.000055,0.002370,0.000057,0.004683,0.000908,0.002261,0.000376,0.002960,0.001279,0.043219,3.951700,0.058365,2.090239,0.440964,9.347048,4.441275,2.148828,3.473999,1.501551,1.551199,-0.029886,0.316593,0.001939,0.003846,648.000000,0.461386,0.974436,0.771429,1.000000,94.426407,0.894227,30.611210,27.158253,-65.712969,2
0.002391,0.000053,0.002355,0.000061,0.002365,0.000061,0.004579,0.000754,0.002299,0.000460,0.003038,0.001251,0.058838,2.455056,0.115984,1.347838,0.511066,8.466292,3.091560,1.963846,3.103743,0.968849,1.341803,-0.032303,0.312634,0.004204,0.001937,627.000000,0.641077,0.984301,0.809032,1.000000,91.597980,0.918913,32.303858,24.792447,74.757322,2
